code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
GRGEM17-10101;Eisenstadt <10101>;;;;;;;;
GRGEM17-10201;Rust <10201>;;;;;;;;
GRGEM17-10301;Breitenbrunn am Neusiedler See <10301>;;;;;;;;
GRGEM17-10302;Donnerskirchen <10302>;;;;;;;;
GRGEM17-10303;Großhöflein <10303>;;;;;;;;
GRGEM17-10304;Hornstein <10304>;;;;;;;;
GRGEM17-10305;Klingenbach <10305>;;;;;;;;
GRGEM17-10306;Leithaprodersdorf <10306>;;;;;;;;
GRGEM17-10320;Loretto <10320>;;;;;;;;
GRGEM17-10307;Mörbisch am See <10307>;;;;;;;;
GRGEM17-10308;Müllendorf <10308>;;;;;;;;
GRGEM17-10309;Neufeld an der Leitha <10309>;;;;;;;;
GRGEM17-10310;Oggau am Neusiedler See <10310>;;;;;;;;
GRGEM17-10311;Oslip <10311>;;;;;;;;
GRGEM17-10312;Purbach am Neusiedler See <10312>;;;;;;;;
GRGEM17-10313;Sankt Margarethen im Burgenland <10313>;;;;;;;;
GRGEM17-10314;Schützen am Gebirge <10314>;;;;;;;;
GRGEM17-10315;Siegendorf <10315>;;;;;;;;
GRGEM17-10316;Steinbrunn <10316>;;;;;;;;
GRGEM17-10321;Stotzing <10321>;;;;;;;;
GRGEM17-10317;Trausdorf an der Wulka <10317>;;;;;;;;
GRGEM17-10318;Wimpassing an der Leitha <10318>;;;;;;;;
GRGEM17-10319;Wulkaprodersdorf <10319>;;;;;;;;
GRGEM17-10322;Zillingtal <10322>;;;;;;;;
GRGEM17-10323;Zagersdorf <10323>;;;;;;;;
GRGEM17-10426;Bildein <10426>;;;;;;;;
GRGEM17-10401;Bocksdorf <10401>;;;;;;;;
GRGEM17-10402;Burgauberg-Neudauberg <10402>;;;;;;;;
GRGEM17-10403;Eberau <10403>;;;;;;;;
GRGEM17-10404;Gerersdorf-Sulz <10404>;;;;;;;;
GRGEM17-10420;Großmürbisch <10420>;;;;;;;;
GRGEM17-10405;Güssing <10405>;;;;;;;;
GRGEM17-10406;Güttenbach <10406>;;;;;;;;
GRGEM17-10418;Hackerberg <10418>;;;;;;;;
GRGEM17-10407;Heiligenbrunn <10407>;;;;;;;;
GRGEM17-10424;Heugraben <10424>;;;;;;;;
GRGEM17-10421;Inzenhof <10421>;;;;;;;;
GRGEM17-10422;Kleinmürbisch <10422>;;;;;;;;
GRGEM17-10408;Kukmirn <10408>;;;;;;;;
GRGEM17-10428;Moschendorf <10428>;;;;;;;;
GRGEM17-10409;Neuberg im Burgenland <10409>;;;;;;;;
GRGEM17-10410;Neustift bei Güssing <10410>;;;;;;;;
GRGEM17-10411;Olbendorf <10411>;;;;;;;;
GRGEM17-10412;Ollersdorf im Burgenland <10412>;;;;;;;;
GRGEM17-10427;Rauchwart <10427>;;;;;;;;
GRGEM17-10425;Rohr im Burgenland <10425>;;;;;;;;
GRGEM17-10413;Sankt Michael im Burgenland <10413>;;;;;;;;
GRGEM17-10414;Stegersbach <10414>;;;;;;;;
GRGEM17-10415;Stinatz <10415>;;;;;;;;
GRGEM17-10416;Strem <10416>;;;;;;;;
GRGEM17-10417;Tobaj <10417>;;;;;;;;
GRGEM17-10423;Tschanigraben <10423>;;;;;;;;
GRGEM17-10419;Wörterberg <10419>;;;;;;;;
GRGEM17-10501;Deutsch Kaltenbrunn <10501>;;;;;;;;
GRGEM17-10502;Eltendorf <10502>;;;;;;;;
GRGEM17-10503;Heiligenkreuz im Lafnitztal <10503>;;;;;;;;
