C-GRGEM17-0;C-H88-0;F-ISIS-1
GRGEM17-10101;H88-1;6696
GRGEM17-10101;H88-2;7035
GRGEM17-10101;H88-3;7351
GRGEM17-10101;H88-4;7387
GRGEM17-10101;H88-5;7073
GRGEM17-10101;H88-6;6796
GRGEM17-10101;H88-7;8897
GRGEM17-10101;H88-8;9005
GRGEM17-10101;H88-9;7568
GRGEM17-10101;H88-10;9315
GRGEM17-10101;H88-11;10062
GRGEM17-10101;H88-12;10102
GRGEM17-10101;H88-13;10349
GRGEM17-10101;H88-14;11334
GRGEM17-10101;H88-15;13101
GRGEM17-10201;H88-1;1324
GRGEM17-10201;H88-2;1403
GRGEM17-10201;H88-3;1548
GRGEM17-10201;H88-4;1609
GRGEM17-10201;H88-5;1535
GRGEM17-10201;H88-6;1361
GRGEM17-10201;H88-7;1432
GRGEM17-10201;H88-8;1542
GRGEM17-10201;H88-9;1596
GRGEM17-10201;H88-10;1690
GRGEM17-10201;H88-11;1711
GRGEM17-10201;H88-12;1693
GRGEM17-10201;H88-13;1696
GRGEM17-10201;H88-14;1714
GRGEM17-10201;H88-15;1896
GRGEM17-10301;H88-1;1364
GRGEM17-10301;H88-2;1338
GRGEM17-10301;H88-3;1372
GRGEM17-10301;H88-4;1343
GRGEM17-10301;H88-5;1230
GRGEM17-10301;H88-6;1242
GRGEM17-10301;H88-7;1310
GRGEM17-10301;H88-8;1321
GRGEM17-10301;H88-9;1230
GRGEM17-10301;H88-10;1211
GRGEM17-10301;H88-11;1321
GRGEM17-10301;H88-12;1395
GRGEM17-10301;H88-13;1570
GRGEM17-10301;H88-14;1702
GRGEM17-10301;H88-15;1902
GRGEM17-10302;H88-1;1649
GRGEM17-10302;H88-2;1576
GRGEM17-10302;H88-3;1799
GRGEM17-10302;H88-4;1783
GRGEM17-10302;H88-5;1741
GRGEM17-10302;H88-6;1824
GRGEM17-10302;H88-7;1842
GRGEM17-10302;H88-8;1856
GRGEM17-10302;H88-9;1622
GRGEM17-10302;H88-10;1646
GRGEM17-10302;H88-11;1593
GRGEM17-10302;H88-12;1576
GRGEM17-10302;H88-13;1556
GRGEM17-10302;H88-14;1649
GRGEM17-10302;H88-15;1742
GRGEM17-10303;H88-1;1338
GRGEM17-10303;H88-2;1455
GRGEM17-10303;H88-3;1527
GRGEM17-10303;H88-4;1456
GRGEM17-10303;H88-5;1331
GRGEM17-10303;H88-6;1339
GRGEM17-10303;H88-7;1451
GRGEM17-10303;H88-8;1445
GRGEM17-10303;H88-9;1406
GRGEM17-10303;H88-10;1472
GRGEM17-10303;H88-11;1503
GRGEM17-10303;H88-12;1564
GRGEM17-10303;H88-13;1678
GRGEM17-10303;H88-14;1853
GRGEM17-10303;H88-15;1929
GRGEM17-10304;H88-1;1989
GRGEM17-10304;H88-2;2150
GRGEM17-10304;H88-3;2246
GRGEM17-10304;H88-4;2416
GRGEM17-10304;H88-5;2549
GRGEM17-10304;H88-6;2520
GRGEM17-10304;H88-7;2573
GRGEM17-10304;H88-8;2454
GRGEM17-10304;H88-9;2373
GRGEM17-10304;H88-10;2382
GRGEM17-10304;H88-11;2328
GRGEM17-10304;H88-12;2258
GRGEM17-10304;H88-13;2593
GRGEM17-10304;H88-14;2640
GRGEM17-10304;H88-15;2758
GRGEM17-10305;H88-1;888
GRGEM17-10305;H88-2;943
GRGEM17-10305;H88-3;961
GRGEM17-10305;H88-4;1122
GRGEM17-10305;H88-5;1258
GRGEM17-10305;H88-6;1353
GRGEM17-10305;H88-7;1343
GRGEM17-10305;H88-8;1312
GRGEM17-10305;H88-9;1360
GRGEM17-10305;H88-10;1249
GRGEM17-10305;H88-11;1231
GRGEM17-10305;H88-12;1166
GRGEM17-10305;H88-13;1130
GRGEM17-10305;H88-14;1189
GRGEM17-10305;H88-15;1166
GRGEM17-10306;H88-1;748
GRGEM17-10306;H88-2;812
GRGEM17-10306;H88-3;829
GRGEM17-10306;H88-4;809
GRGEM17-10306;H88-5;821
GRGEM17-10306;H88-6;834
GRGEM17-10306;H88-7;841
GRGEM17-10306;H88-8;842
GRGEM17-10306;H88-9;857
GRGEM17-10306;H88-10;882
GRGEM17-10306;H88-11;973
GRGEM17-10306;H88-12;989
GRGEM17-10306;H88-13;1043
GRGEM17-10306;H88-14;1181
GRGEM17-10306;H88-15;1157
GRGEM17-10320;H88-1;340
GRGEM17-10320;H88-2;355
GRGEM17-10320;H88-3;317
GRGEM17-10320;H88-4;306
GRGEM17-10320;H88-5;281
GRGEM17-10320;H88-6;283
GRGEM17-10320;H88-7;277
GRGEM17-10320;H88-8;269
GRGEM17-10320;H88-9;249
GRGEM17-10320;H88-10;246
GRGEM17-10320;H88-11;234
GRGEM17-10320;H88-12;270
GRGEM17-10320;H88-13;326
GRGEM17-10320;H88-14;363
GRGEM17-10320;H88-15;463
GRGEM17-10307;H88-1;1004
GRGEM17-10307;H88-2;1187
GRGEM17-10307;H88-3;1405
GRGEM17-10307;H88-4;1661
GRGEM17-10307;H88-5;1833
GRGEM17-10307;H88-6;1974
GRGEM17-10307;H88-7;2129
GRGEM17-10307;H88-8;2127
GRGEM17-10307;H88-9;2258
GRGEM17-10307;H88-10;2333
GRGEM17-10307;H88-11;2302
GRGEM17-10307;H88-12;2359
GRGEM17-10307;H88-13;2279
GRGEM17-10307;H88-14;2323
GRGEM17-10307;H88-15;2319
GRGEM17-10308;H88-1;956
GRGEM17-10308;H88-2;1107
GRGEM17-10308;H88-3;1043
GRGEM17-10308;H88-4;1090
GRGEM17-10308;H88-5;1063
GRGEM17-10308;H88-6;1062
GRGEM17-10308;H88-7;1106
GRGEM17-10308;H88-8;1096
GRGEM17-10308;H88-9;1027
GRGEM17-10308;H88-10;1017
GRGEM17-10308;H88-11;1072
GRGEM17-10308;H88-12;1173
GRGEM17-10308;H88-13;1224
GRGEM17-10308;H88-14;1229
GRGEM17-10308;H88-15;1329
GRGEM17-10309;H88-1;791
GRGEM17-10309;H88-2;853
GRGEM17-10309;H88-3;1798
GRGEM17-10309;H88-4;2921
GRGEM17-10309;H88-5;2880
GRGEM17-10309;H88-6;3094
GRGEM17-10309;H88-7;2654
GRGEM17-10309;H88-8;2524
GRGEM17-10309;H88-9;2395
GRGEM17-10309;H88-10;2442
GRGEM17-10309;H88-11;2316
GRGEM17-10309;H88-12;2344
GRGEM17-10309;H88-13;2657
GRGEM17-10309;H88-14;2966
GRGEM17-10309;H88-15;3182
GRGEM17-10310;H88-1;1313
GRGEM17-10310;H88-2;1425
GRGEM17-10310;H88-3;1586
GRGEM17-10310;H88-4;1591
GRGEM17-10310;H88-5;1670
GRGEM17-10310;H88-6;1628
GRGEM17-10310;H88-7;1698
GRGEM17-10310;H88-8;1769
GRGEM17-10310;H88-9;1712
GRGEM17-10310;H88-10;1790
GRGEM17-10310;H88-11;1847
GRGEM17-10310;H88-12;1873
GRGEM17-10310;H88-13;1876
GRGEM17-10310;H88-14;1811
GRGEM17-10310;H88-15;1799
GRGEM17-10311;H88-1;1114
GRGEM17-10311;H88-2;1156
GRGEM17-10311;H88-3;1264
GRGEM17-10311;H88-4;1298
GRGEM17-10311;H88-5;1288
GRGEM17-10311;H88-6;1320
GRGEM17-10311;H88-7;1260
GRGEM17-10311;H88-8;1250
GRGEM17-10311;H88-9;1204
GRGEM17-10311;H88-10;1245
